id,"airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
238977,2684,"ESNP",3281,82,"ASP",1,0,"16",65.40260314941406,21.25779914855957,,163.5,,"34",65.39399719238281,21.263900756835938,,343.5,
239065,2685,"ESNQ",8209,148,"ASP",1,0,"03",67.81269836425781,20.32029914855957,1508,33.7,,"21",67.831298828125,20.353200912475586,1432,213.7,
239027,2686,"ESNR",3281,98,"ASP",0,0,"03",61.18600082397461,14.70829963684082,,27,,"21",61.194000244140625,14.71679973602295,,207,
239028,2686,"ESNR",2953,131,"GRS",0,0,"15",61.19459915161133,14.71660041809082,,153,,"33",61.187400817871094,14.724200248718262,,333,
239059,2687,"ESNS",8268,148,"ASP",1,0,"10",64.62740325927734,21.05579948425293,157,106,,"28",64.62210083007812,21.097999572753906,125,286,
239010,2689,"ESNU",7551,148,"ASP",1,0,"14",63.798500061035156,20.26930046081543,24,138,,"32",63.78310012817383,20.30030059814453,17,318,196
239049,2690,"ESNV",4928,98,"ASP",1,0,"10",64.58059692382812,16.818300247192383,1138,103.2,,"28",64.57749938964844,16.848800659179688,1138,283.2,793
238985,2691,"ESNX",8201,148,"ASP",1,0,"12",65.59860229492188,19.256200790405273,1241,128.2,,"30",65.58470153808594,19.298799514770508,1240,308.2,
238979,2692,"ESNY",2625,56,"ASP",0,1,"03",61.257598876953125,17.09280014038086,88,31,,"21",61.26380157470703,17.10059928894043,82,211,
238980,2692,"ESNY",8281,131,"ASP",1,0,"12",61.268699645996094,17.080900192260742,87,129.6,,"30",61.25429916381836,17.11720085144043,60,309.6,228
247004,29358,"ESNZ",8202,148,"ASP",0,0,"12",63.19879913330078,14.479399681091309,1194,115,,"30",63.18939971923828,14.5246000289917,1233,295,
247005,29358,"ESNZ",4034,54,"ASP",0,0,"12L",63.20069885253906,14.499500274658203,,122,,"30R",63.194801330566406,14.5201997756958,,302,
239036,2693,"ESOE",10728,148,"ASP",1,0,"01",59.21099853515625,15.03279972076416,161,12,,"19",59.2338981628418,15.041999816894531,188,192,
238987,2694,"ESOH",4951,98,"ASP",1,0,"18",60.026798248291016,13.578100204467773,474,176.7,,"36",60.013301849365234,13.579700469970703,469,356.7,
238975,2695,"ESOK",8255,148,"ASP",1,0,"03",59.43450164794922,13.327799797058105,332,25.6,,"21",59.454898834228516,13.347000122070312,352,205.6,
238976,2695,"ESOK",1840,170,"GRE",0,0,"03L",59.45029830932617,13.337499618530273,,26.2,,"21R",59.45479965209961,13.341899871826172,,206.2,
504615,29359,"ESOL",2026,59,"ASP",0,0,"06",,,,,450,"24",,,,,
239068,2696,"ESOW",8468,164,"ASP",1,0,"01",59.57848358154297,16.629249572753906,5,8.2,1312,"19",59.601173400878906,16.63847541809082,21,188.2,
239061,2697,"ESPA",10990,148,"ASP",1,0,"14",65.55480194091797,22.097400665283203,65,137.3,,"32",65.53269958496094,22.1466007232666,21,317.3,
239011,2699,"ESPE",7316,115,"ASP",1,0,"11",65.87979888916016,20.12809944152832,597,116.6,,"29",65.87079620361328,20.17169952392578,591,296.6,
238997,2700,"ESQO",6562,131,"ASP",0,0,"15",59.394100189208984,15.91450023651123,33,147.1,,"33",59.37900161743164,15.933600425720215,33,327.1,
239018,2701,"ESSA",10830,148,"ASP",1,0,"01L",59.637298583984375,17.91320037841797,98,10,,"19R",59.66640090942383,17.923799514770508,118,190,
239017,2701,"ESSA",8201,148,"ASP",1,0,"01R",59.626399993896484,17.950700759887695,137,10.4,,"19L",59.64849853515625,17.95870018005371,98,190.4,
239019,2701,"ESSA",8202,148,"ASP",1,0,"08",59.65840148925781,17.936100006103516,108,75.9,,"26",59.66389846801758,17.97920036315918,124,255.9,
239009,2702,"ESSB",5472,148,"ASP",1,0,"12",59.358699798583984,17.92959976196289,46,125,,"30",59.350101470947266,17.953699111938477,42,305,
337277,29363,"ESSC",2625,,"G",0,0,"05",,,,,,"23",,,,,
238998,2703,"ESSD",7579,148,"ASP",1,0,"14",60.429100036621094,15.499899864196777,503,133,,"32",60.41510009765625,15.530799865722656,493,313,
337345,29364,"ESSE",2133,131,"grass",0,0,"03",,,,,,"21",,,,,
337344,29364,"ESSE",2853,131,"grass",0,0,"11",,,,,,"29",,,,,
239034,2704,"ESSF",6383,131,"CON",1,0,"12",57.529598236083984,15.809399604797363,366,116,,"30",57.52190017700195,15.838500022888184,358,296,
260258,29365,"ESSG",2687,98,"ASP",0,0,"01",,,894,,,"19",,,894,,
506968,29366,"ESSH",2787,98,"ASP",0,0,"03",,,,,,"21",,,,,
270979,29367,"ESSI",1968,82,"Grass",0,0,"01",,,,,,"19",,,,,
270978,29367,"ESSI",2624,82,"Grass",0,0,"15",,,,,,"33",,,,,
238986,2705,"ESSK",6562,148,"ASP",1,0,"18",60.60210037231445,16.951499938964844,210,181,,"36",60.58420181274414,16.950899124145508,223,1,
238981,2706,"ESSL",7004,148,"ASP",1,0,"11",58.409901,15.6634,142,112,,"29",58.402699,15.6971,172,292,
504562,30191,"ESSN",2624,59,"Asphalt",1,0,"07",,,,,,"25",,,,,
238982,2707,"ESSP",7228,148,"ASP",1,0,"09",58.58610153198242,16.231700897216797,13,90.8,,"27",58.58580017089844,16.26959991455078,32,270.8,
238983,2707,"ESSP",1948,115,"GRS",0,0,"11",58.5901985168457,16.236000061035156,7,115,,"29",58.58789825439453,16.24519920349121,8,295,
239026,2708,"ESST",5219,95,"ASP",1,0,"16",60.16400146484375,12.986000061035156,349,157.7,367,"34",60.15079879760742,12.996899604797363,393,337.7,
238984,2709,"ESSU",6187,115,"ASP",1,0,"18",59.359501,16.7078,129,178,,"36",59.342602,16.709,130,358,
238989,2710,"ESSV",6562,148,"ASP",1,0,"03",57.65439987182617,18.340200424194336,140,21,,"21",57.671199798583984,18.35219955444336,136,201,
238990,2710,"ESSV",3611,131,"GRS",0,0,"10",57.6510009765625,18.329700469970703,142,101,,"28",57.64899826049805,18.347700119018555,164,281,
347911,29369,"ESSW",3934,98,"ASP 131.615 Mhz",1,0,"15",,,128,146,,"33",,,125,326,
506967,29370,"ESSX",2788,72,"ASP",1,0,"05",,,,,,"23",,,,,
512542,29371,"ESSZ",2526,98,"grass",0,0,"03",,,,,,"21",,,,,
506957,29371,"ESSZ",2296,98,"Grass",1,0,"15",,,,,,"33",,,,,
239029,2711,"ESTA",613,131,"ASP",0,1,"04",56.294498443603516,12.844799995422363,68,41,,"22",56.30799865722656,12.865900039672852,64,221,
239030,2711,"ESTA",6381,131,"ASP",1,0,"14",56.29779815673828,12.844200134277344,60,136.4,,"32",56.28519821166992,12.865900039672852,52,316.5,
270971,29869,"ESTF",2624,98,"Grass",0,0,"06",,,,,,"24",,,,,
239003,2712,"ESTL",6596,131,"ASP",1,0,"11L",56.0885009765625,13.192399978637695,126,113,,"29R",56.08150100708008,13.222100257873535,139,293,
239002,2712,"ESTL",7449,131,"ASP",1,0,"11R",56.08729934692383,13.177900314331055,122,113,738,"29L",56.07929992675781,13.211400032043457,136,293,
239005,2712,"ESTL",2588,82,"ASP",0,1,"12L",56.085899353027344,13.217100143432617,,113,,"30R",56.083099365234375,13.228799819946289,,293,
239004,2712,"ESTL",2590,82,"ASP",0,1,"12R",56.08449935913086,13.216300010681152,,113,,"30L",56.08169937133789,13.227999687194824,,293,
300927,30525,"ESTT",2395,98,"Grass",0,0,"03",,,,,,"21",,,,,
238993,2713,"ESUD",7490,131,"ASP",1,0,"15",64.96990203857422,17.685100555419922,894,151,,"33",64.95189666748047,17.70829963684082,904,331,
504614,29375,"ESUE",5100,98,"ASP",1,0,"15",,,,,1937,"33",,,,,
506972,30129,"ESUI",2787,98,"Grass",0,0,"09",,,,,,"27",,,,,
260256,29379,"ESUJ",2722,98,"Grass",0,0,"14",,,,,,"32",,,,,
